location,ranking,loc_id
Cox Town,top1,146
Bennigana Halli,top1,147
Bhoopsandra,top1,148
Maruthi Sevanagar,top1,149
Chamrajpet,top1,150
KHB Colony Extension,top1,151
Jogupalya,top1,152
Mathikere,top1,153
Banagiri Nagar,top1,154
"Yemlur, Old Airport Road, ",top1,155
Papareddipalya,top1,156
Richards Town,top1,157
Laxmi Sagar Layout,top1,158
Brindavan Nagar,top1,159
Arekempanahalli,top1,160
Challaghatta,top1,161
Kamakshipalya,top1,162
Jinkethimmanahalli,top1,163
Bhuvaneswari Nagar,top1,164
Banjara Layout,top1,165
V.V Puram,top1,166
Thyagaraja Nagar,top1,167
Jakkur Plantation,top1,168
Banashankari3rd stage bigbazar,top1,169
Venkatadri Layout,top1,170
Lakshminarayana Pura,top1,171
Anjappa Layout,top1,172
Bendiganahalli,top1,173
NS Palya,top1,174
Shirdi Sai Nagar,top1,175
Bettahalsoor,top1,176
Kumbalgodu,top1,177
Rahmath Nagar,top1,178
Bileshivale,top1,179
Mahalakshmi Puram,top1,180
HBR Layout,top1,181
Green Domain Layout,top1,182
Amblipura,top1,183
1st Block Koramangala,top1,184
Esther Enclave Layout,top1,185
Nagavarapalya,top1,186
KG Halli,top1,187
Old Airport Road,top1,188
Basaveshwara Nagar,top1,189
Deepanjali Nagar,top1,190
AMS Layout,top1,191
Masjid e Alkareem,top1,192
Sri Balaji Krupa Layout,top1,193
Kundalahalli,top1,194
J.P.nagar 6th Phase.Sarakki Nagar,top1,195
Attur Layout,top1,196
Prakash Nagar,top1,197
Cholanayakanahalli,top1,198
sankeswari,top1,199
Shanti Nagar,top1,200
Chamundi Nagar,top1,201
Mango Garden Layout,top1,202
Teachers Colony,top1,203
Sampige Layout,top1,204
Ferrar Nagar,top1,205
Classic Paradise Layout,top1,206
Ullal Uppanagar,top1,207
Prithvi Layout,top1,208
Hebbal,top1,209
Vyalikaval,top1,210
Veer Sandra,top1,211
Sanjay nagar,top1,212
Hegde Nagar,top1,213
Sathanur,top1,214
Karuna Nagar,top1,215
2nd Stage Arekere Mico Layout,top1,216
"Banaswadi, ",top1,217
HRBR Layout,top1,218
Kammanahalli,top1,219
Herohalli,top1,220
"Banasawadi, ",top1,221
Munivenkatppa Layout,top1,222
RK Layout 2nd Stage,top1,223
"TR Mill Road, Chamarajpet",top1,224
Venkatapura,top1,225
RR Layout,top1,226
Rustam Bagh Layout,top1,227
BTM 4th Stage,top1,228
T R Mill Road,top1,229
CHIKKATIRUPATHI,top1,230
Chikkaballapur,top1,231
Kanakapura Road,top1,232
Kalhalli,top1,233
Koppa,top2,234
Uday Nagar,top2,235
Kamala Nagar,top2,236
Govindapura,top2,237
Lal Bahadur Shastri Nagar,top2,238
 Banaswadi,top2,239
Ambedkar Nagar,top2,240
J C Nagar,top2,241
Ganga Nagar,top2,242
Dooravani Nagar,top2,243
Lingadheeranahalli,top2,244
Doddaballapur,top2,245
Outer Ring Road East,top2,246
Gowdanapalya,top2,247
Lakshmipura,top2,248
Siddapura,top2,249
Williams Town,top2,250
Ganesha Block,top2,251
"Bellandur, ",top2,252
6th Phase JP Nagar,top2,253
Jayanti Nagar,top2,254
banashankari stage iii sa,top2,255
Ganga Nagar Extension,top2,256
Manonarayanapalya,top2,257
Maruthi nagar kogilu,top2,258
Gokula Extension,top2,259
"Sarjapur Road, ",top2,260
Giri Nagar,top2,261
Meenakunte,top2,262
Ashwini layout,top2,263
"Thanisandra Main Road, ",top2,264
Jalahalli,top2,265
Udaya Nagar,top2,266
RMV Extension Stage 2,top2,267
Jnana Ganga Nagar,top2,268
Vijayanagar,top2,269
Nagawara Junction,top2,270
Green Glen Layout,top2,271
2nd Block Hrbr Layout,top2,272
Harlur,top2,273
Rajiv Nagar,top2,274
Chowdeshwari Layout,top2,275
EPIP Zone,top2,276
Sector 2 HSR Layout,top2,277
3rd Phase JP Nagar,top2,278
Jakkasandra,top2,279
Bagalur Main Road,top2,280
Yeshwanthpur,top2,281
OLd Gurappanapalya,top2,282
Rajankunte,top2,283
Shanthi Layout,top2,284
Thirupalya,top2,285
1st Stage Indira Nagar,top2,286
Dodsworth Layout,top2,287
SHANTHINAGAR,top2,288
Tala Cauvery Layout,top2,289
Devarabeesana Halli,top2,290
Kodanda Reddy Layout,top2,291
OMBR Layout,top2,292
Badavala Nagar,top2,293
"JP Nagar 7th Phase, ",top2,294
Manorayana Palya,top2,295
Medi Agrahara,top2,296
Chikkasandra,top2,297
Kenchenhalli,top2,298
Bhoganhalli,top2,299
Devanahalli Int. Airport,top2,300
Kanaka Nagar,top2,301
Surabhi Layout,top2,302
"ravindra nagar, T.dasarahalli peenya",top2,303
Byatarayanapura,top2,304
Ejipura,top2,305
"Banashankari 3rd stage, Vivekanandanagar",top2,306
Zuzuvadi,top2,307
Arishinakunte,top2,308
Kumara Park,top2,309
Annapurneshwari Nagar,top2,310
Ramanagara Channapatna,top2,311
CQAL Layout,top2,312
Sadduguntepalya,top2,313
Medaralli,top2,314
Agara Village,top2,315
Upkar Layout,top2,316
Shantiniketan Layout,top2,317
Garden Layout,top2,318
Jakkur,top2,319
Kuvempu Nagar,top2,320
Bannerghatta,top2,321
Nanjappa Layout,top2,322
Sunder Ram Shetty Nagar,top2,323
Sundar Ram Shetty Nagar,top2,324
Billapura,top2,325
Junnasandra,top2,326
Javarandoddi,top2,327
Hoodi Layout,top2,328
BCC Layout,top2,329
Byrathi Village,top2,330
Konanakunte,top2,331
Ambalipura,top2,332
1st Block HBR Layout,top2,333
Balagere,top2,334
Shivaji Nagar,top2,335
Vibhutipura Extension,top2,336
Peenya,top2,337
Kammagondahalli,top2,338
Billekahalli,top2,339
Sathya Layout,top2,340
Dasappa Layout,top2,341
Chikkakannalli,top2,342
T.C PALYA,top2,343
Kurubarahalli,top2,344
Anand nagar,top2,345
Nandi Hills,top2,346
Virudhu Nagar,top2,347
Doddanekundi,top2,348
7th Phase JP Nagar,top2,349
Banashankari 6th Stage,top2,350
Kasturi Nagar,top2,351
Kothnur Narayanapura,top2,352
Jagadish Nagar,top2,353
Devanahalli Road,top2,354
Hosahalli Extension,top2,355
Maheswari Nagar,top2,356
1st Block Jayanagar,top2,357
Suragajakkanahalli,top2,358
Gokaula Extension,top2,359
Malimakanapura,top2,360
Jakkasandra Extension,top2,361
Kodbisanhalli,top2,362
Kathriguppe,top2,363
RBI Layout,top2,364
Jayamahal,top2,365
Vishwapriya Nagar,top2,366
6th Block Rajaji Nagar,top2,367
Brookefield,top2,368
Kodigehalli,top2,369
Hosakerehalli Layout,top2,370
Devarabisanahalli,top2,371
"Banashankari 6th Stage ,Subramanyapura",top2,372
"ECC Road, Whitefield, ",top2,373
Judicial Layout,top2,374
Hosakerehalli,top2,375
Rajasree Layout,top2,376
Kaverappa Layout,top2,377
Panathur,top2,378
Hoodi,top2,379
New Thippasandra,top2,380
Kempegowda Nagar,top2,381
Thubarahalli,top2,382
RPC layout,top2,383
Chikkajala,top2,384
Padmanabhanagar,top2,385
KR Garden,top2,386
Hosur Road,top2,387
Vishwanatha Nagenahalli,top2,388
Badrappa Layout,top2,389
Kumaraswami Layout,top2,390
Prestige Sunrise,top2,391
New Gurappana Palya,top2,392
Nagasandra,top2,393
St Thomas Town,top2,394
"Whietfield, ",top2,395
2nd Stage Nagarbhavi,top2,396
Sahakara Nagar,top2,397
Ardendale,top2,398
Kadugondanahalli,top2,399
Shampura,top2,400
Kannamangala,top2,401
Whitefield ECC Road,top2,402
Hennur Road,top2,403
2nd Block Hbr Layout,top2,404
Dodda Nekkundi Extension,top2,405
Amam Enclave Layout,top2,406
BTM 2nd Stage,top2,407
ITI Layout,top2,408
Lingarajapuram,top2,409
Basavanna Nagar,top2,410
Tumkur Road,top2,411
Vibuthipura,top2,412
Yelachenahalli,top2,413
Sarjapur  Road,top2,414
Varanasi,top2,415
P Krishnappa Layout,top2,416
 Whitefield,top2,417
Kaveri Nagar,top2,418
2nd Phase JP Nagar,top2,419
Dena Bank Colony,top2,420
Marathahalli,top2,421
CV Raman Nagar,top2,422
Chelekare,top2,423
Marsur,top2,424
Gopalkrishna Nagar,top2,425
Banashankari Stage III,top2,426
Dinnur,top2,427
Hennur Busstop,top2,428
Narayanapura,top2,429
Kadubeesanahalli,top2,430
Kalyan nagar,top2,431
Pampa Extension,top2,432
Near International Airport,top2,433
Virupakshapura,top2,434
BTM Layout,top2,435
Banashankari Stage I,top2,436
T c palya,top2,437
Doddabommasandra,top2,438
Vignana Nagar,top2,439
"Panathur Road, ",top2,440
2nd Block Bel Layout,top2,441
Anand Nagar,top2,442
Ramesh Nagar,top2,443
Kasavanhalli,top2,444
tc.palya,top2,445
RMV Extension,top2,446
Ncpr Industrial Layout,top2,447
BEML Layout,top2,448
Baba Nagar,top2,449
Naidu Layout,top2,450
Arekere,top2,451
Nagashetty Halli,top2,452
Talaghattapura,top2,453
basaveshwarnagar,top2,454
JP Nagar,top2,455
Ullal Road,top2,456
 Rachenahalli,top2,457
PNS Layout,top2,458
Kundalahalli Colony,top2,459
Vasantha Vallabha Nagar,top2,460
Remco Bhel Layout,top2,461
Old Madras Road,top2,462
Doddanakunte,top2,463
Veerabhadra Nagar,top2,464
Murugeshpalya,top2,465
KSRTC Layout,top2,466
Roopena Agrahara,top2,467
Chikka Banaswadi,top3,468
Viswajit Layout,top3,469
Jalahalli East,top3,470
Vijinapura,top3,471
Tigalarpalya,top3,472
Vajarahalli,top3,473
Chennammanakere Achukattu,top3,474
Bhattarahalli,top3,475
Sonam Layout,top3,476
Hulimavu,top3,477
1st Block BEL Layout,top3,478
Raghavendra Layout,top3,479
Guddadahalli,top3,480
Margondanahalli,top3,481
NRI Layout,top3,482
Kaggalipura,top3,483
3rd Phase Iti Layout,top3,484
RMV 2nd Stage,top3,485
Kithaganur,top3,486
Syndicate Bank Colony,top3,487
Rajiv Gandhi Nagar,top3,488
TC Palaya,top3,489
Avalahalli,top3,490
Thanisandra,top3,491
Whitefield,top3,492
Banashankari,top3,493
Sultan Palaya,top3,494
JakkurYelahanka,top3,495
Nayandanahalli,top3,496
Bellandur,top3,497
Tharabanahalli,top3,498
Srinivasa Nagar,top3,499
Bellari Road,top3,500
D Group Employees Layout,top3,501
Nallurhalli,top3,502
Akshaya Nagar,top3,503
HMT Layout,top3,504
Chennammana Kere,top3,505
Gubbalala,top3,506
Mysore Road,top3,507
Bande Nallasandra,top3,508
Adugodi,top3,509
 Thanisandra,top3,510
Ashwathnagar,top3,511
Hommadevanahalli,top3,512
R.T. Nagar,top3,513
Friends Colony,top3,514
BCMC Layout,top3,515
Seetharampalya,top3,516
Seegehalli,top3,517
Kalena Agrahara,top3,518
Tindlu,top3,519
Bidadi,top3,520
1st Block HRBR Layout,top3,521
Venugopal Reddy Layout,top3,522
Sabari Nagar,top3,523
Govindaraja Nagar Ward,top3,524
Gattigere,top3,525
PC Palaya,top3,526
Jigani,top3,527
Nagarbhavi,top3,528
Air View Colony,top3,529
Ittamadu,top3,530
Amruthahalli,top3,531
Hosa Road,top3,532
B Narayanapura,top3,533
ISRO Layout,top3,534
Devanahalli,top3,535
Shettigere,top3,536
Yemlur,top3,537
Coffee Board Layout,top3,538
Bannerghatta Road,top3,539
Off Bannergatta Road,top3,540
Jalahalli West,top3,541
Garebhavipalya,top3,542
Ashwath Nagar,top3,543
Vaderahalli,top3,544
Off Bannergatta road,top3,545
Subramanyapura,top3,546
Raja Rajeshwari Nagara,top3,547
Ramagondanahalli,top3,548
Vijaya Bank Layout,top3,549
Kothanur,top3,550
MS Pallya,top3,551
Nagaraja Garden,top3,552
Arehalli,top3,553
RR Nagar,top3,554
Thirumenahalli,top3,555
Udayagiri,top3,556
Bikasipura,top3,557
Jnanabharathi Layout,top3,558
Kempapura,top3,559
Kacharakanahalli,top3,560
Nehru Nagar,top3,561
Kenchenahalli,top3,562
Hanuman Nagar,top3,563
Magadi Road,top3,564
Kudlu Gate,top3,565
Hanumantha Nagar,top3,566
Kanakpura Road,top3,567
Ngef Layout,top3,568
Rukmaiah Layout,top3,569
Nagadevanahalli,top3,570
5th Phase JP Nagar,top3,571
Ramamurthy Nagar,top3,572
Brooke Bond First Cross,top3,573
Bethel Nagar,top3,574
Vittasandra,top3,575
Neelamangala,top3,576
Brindavan Layout,top3,577
Patelappa Layout,top3,578
Carmelaram,top3,579
Dasarahalli,top3,580
Yelahanka,top3,581
Singanayakanahalli,top3,582
Akshayanagara East,top3,583
Jeevan bima nagar,top3,584
Hallehalli,top3,585
Hiremath Layout,top3,586
Konena Agrahara,top3,587
Kaikondrahalli,top3,588
Akshayanagara West,top3,589
"Off Sarjapur Road, ",top3,590
Rachenahalli,top3,591
Doddanakundi Industrial Area 2,top3,592
Kadabagere,top3,593
Mallathahalli,top3,594
Kattigenahalli,top3,595
Kadugodi,top3,596
KPC Layout,top3,597
B Channasandra,top3,598
Hennur Bande,top3,599
HSR Layout,top3,600
Kalkere,top3,601
Maragondanahalli,top3,602
Kogilu,top3,603
Hosahalli,top3,604
Kodipalya,top3,605
Howthinarayanappa Garden,top3,606
Haralur Road,top3,607
Vidyaranyapura,top3,608
Sunkadakatte,top3,609
Srirampura,top3,610
AGS Layout,top3,611
Banaswadi,top3,612
Akshya Nagar,top3,613
Bhuvaneshwari Nagar,top3,614
Kodigehaali,top3,615
Geddalahalli,top3,616
Battarahalli,top3,617
Laggere,top3,618
Canara Bank Layout,top3,619
Dasanapura,top3,620
Hadosiddapura,top3,621
"Kanakapura Road, ",top3,622
Choodasandra,top3,623
Budigere,top3,624
Banashankari Stage VI,top3,625
Vadarpalya,top3,626
Kullappa Colony,top3,627
Subash Nagar,top3,628
Doddagubbi,top3,629
Kaval Byrasandra,top3,630
Kariyammana Agrahara,top3,631
Vayunandana Layout,top3,632
Mallappa Layout,top3,633
3rd Stage Raja Rajeshwari Nagar,top3,634
3rd Block HBR Layout,top3,635
Amco Colony,top3,636
Billamaranahalli,top3,637
Rammana Layout,top3,638
Reliaable Tranquil Layout,top3,639
Mahadevpura,top3,640
LB Shastri Nagar,top3,641
Bagalur,top3,642
Mahaganapathy Nagar,top3,643
Vinayaka Nagar,top3,644
Kallumantapa,top3,645
Bank Avenue,top3,646
Garudachar Palya,top3,647
Green Woods Layout,top3,648
Somasundara Palya,top3,649
Akash Nagar,top3,650
Mallasandra,top3,651
Chikkanahalli,top3,652
Seethappa Layout,top3,653
Aishwarya Crystal Layout,top3,654
Omkar Nagar,top3,655
Amruthnagar,top3,656
Chikbasavanapura,top3,657
Doddabidrakallu,top3,658
Hoskote near,top3,659
Bidrahalli,top3,660
kadubisnahalli,top3,661
Medahalli,top3,662
Sampigehalli,top3,663
Varthur,top3,664
Crimson Layout,top3,665
manyata tech park,top3,666
Bharathi Nagar,top3,667
Anandapura,top3,668
Virat Nagar,top3,669
Sidedahalli,top3,670
Devi Nagar,top3,671
AECS Layout,top3,672
Prakruthi Nagar,top3,673
GB Palya,top3,674
"Hoodi Circle, ",top3,675
Munnekollal,top3,676
Hormavu,top3,677
"Judicial Layout, Kanakapura Road, ",top3,678
Austin Town,top3,679
1st Stage Domlur,top3,680
Atmananda Colony,top3,681
KR Puram,top3,682
RWF West Colony,top3,683
Nagavara,top3,684
Jaladarsini Layout,top3,685
Doddabele,top3,686
Anugrah Layout,top3,687
Malleshpalya,top3,688
"Varthur Road, ",top3,689
Raja Rajeshwari Nagar 5th Stage,top3,690
Kudlu,top3,691
Pattandur Agrahara,top3,692
KEB Colony,top3,693
Hessarghatta,top3,694
Lavakusha Nagar,top3,695
Ashirvad Colony,top3,696
Singasandra,top3,697
Hennur,top3,698
Gattahalli,top3,699
Narayanappa Garden,top3,700
Dodda Nekkundi,top3,701
Doddakammanahalli,top4,702
Veerannapalya,top4,703
Panduranga Nagar,top4,704
manyata park,top4,705
Madiwala,top4,706
Upadhyaya Layout,top4,707
Sonnenahalli,top4,708
P&T Colony,top4,709
Canara Bank Colony,top4,710
mvj engineering college,top4,711
Govindpura,top4,712
Electronics City Phase 1,top4,713
"JP nagar 9th Phase, ",top4,714
Begur,top4,715
 Electronic City,top4,716
Govindraja Nagar,top4,717
Jakkuru Layout,top4,718
Immadihalli,top4,719
"Near Electronic City, ",top4,720
Kengeri Hobli,top4,721
5th Block Hbr Layout,top4,722
Horamavu Banaswadi,top4,723
Kambipura,top4,724
Basapura,top4,725
Doddakannelli,top4,726
Ckikkakammana Halli,top4,727
Singapura Village,top4,728
Pai Layout,top4,729
Vittal Nagar,top4,730
Byrasandra,top4,731
Rajapura,top4,732
T K Reddy Layout,top4,733
Jagajyothi layout,top4,734
Ramanashree Enclave,top4,735
Bagalakunte,top4,736
Kanakapura,top4,737
ITPL,top4,738
Tata Nagar,top4,739
Chikka Tirupathi,top4,740
Anjanapura,top4,741
Narayana Nagar 1st Block,top4,742
Manjunatha Layout,top4,743
elachenahalli,top4,744
Manayata Tech Park,top4,745
Janatha Colony,top4,746
Kamdhenu Nagar,top4,747
Mariyannapalya,top4,748
8th Phase JP Nagar,top4,749
VGP Layout,top4,750
Basavanapura,top4,751
Yelahanka New Town,top4,752
Nyanappana Halli,top4,753
9th Phase JP Nagar,top4,754
Maruthi Layout,top4,755
Kannur,top4,756
Tippenahalli,top4,757
Pattanagere,top4,758
Thippasandra,top4,759
Basaveshwara Nagar Yelahanka,top4,760
Marasandra,top4,761
Kodichikkanahalli,top4,762
GD Layout,top4,763
DUO Layout,top4,764
NGR Layout,top4,765
Dodda Kempaiah Layout,top4,766
 Anekal,top4,767
Gaundanapalya,top4,768
Tejaswini Nagar,top4,769
Anwar Layout,top4,770
Kachanayakanahalli,top4,771
Bommanahalli,top4,772
Rayasandra,top4,773
Ankappa Layout,top4,774
Devasthanagalu,top4,775
"Ananthanagar Phase 1,Electronic City , phase 2",top4,776
Lottegolla Halli,top4,777
Chikkabanavar,top4,778
GM Palaya,top4,779
SRINIVASAPURA,top4,780
Gkvk Layout,top4,781
Chokkahalli,top4,782
Kamakya Layout,top4,783
Hanumanth Nagar,top4,784
Motappa Layout,top4,785
Telecom Layout,top4,786
Puttanahalli,top4,787
Coconut Grove Layout,top4,788
Sarvabhouma Nagar,top4,789
Electronic City,top4,790
Kengeri Satellite Town,top4,791
Silver Springs Layout,top4,792
 Mysore Highway,top4,793
Chikkalasandra,top4,794
Coconut Garden,top4,795
Reliable Woods Layout,top4,796
Hongasandra,top4,797
"Whitefield, ",top4,798
Mangammanapalya,top4,799
Jai Bheema Nagar,top4,800
Poornapragna Housing Society Layout,top4,801
Konanakunte Cross,top4,802
"Kudlu Village, ",top4,803
Vijaya Bank Colony,top4,804
"JP Nagar 8th Phase, ",top4,805
Gottigere,top4,806
Srigandada Kaval,top4,807
Kalkere Channasandra,top4,808
Dr Shivarama Karantha Nagar,top4,809
Horamavu Agara,top4,810
Kengeri,top4,811
Krishna Reddy Layout,top4,812
Naganathapura,top4,813
MCECHS  layout,top4,814
Kaggadasapura,top4,815
S R Layout,top4,816
Samethanahalli,top4,817
Old Mangammanapalya Road,top4,818
NTI Layout,top4,819
Vinayak Nagar,top4,820
Mailasandra,top4,821
Chinnapanahalli,top4,822
Vijayabank bank layout,top4,823
Sugama Layout,top4,824
Silk Board,top4,825
Hagadur,top4,826
Ayappa Nagar,top4,827
Udayapur Village,top4,828
Mico Layout,top4,829
 Devarachikkanahalli,top4,830
Sadaramangala,top4,831
Basava Nagar,top4,832
Mylasandra,top4,833
Shirdi Sai Layout,top4,834
Abbigere,top4,835
Nanjappa Garden,top4,836
Devarachikkanahalli,top4,837
Nagappa Reddy Layout,top4,838
Maruthi Nagar,top4,839
manyata,top4,840
Annasandrapalya,top4,841
rr nagar,top4,842
Anathanagar,top4,843
Shettihalli,top4,844
Gollahalli,top4,845
Doctors Layout,top4,846
Chambenahalli,top4,847
Sai Gardens,top4,848
Annaiah Reddy Layout,top4,849
Sarjapur,top4,850
Bandepalya,top4,851
Hoysalanagar,top4,852
Ramamurthy Nagar Extension,top4,853
Kumarapalli,top4,854
5th Stage BEML Layout,top4,855
BEML Layout 5th stage,top4,856
Rajarajeshwarinagar,top4,857
Channasandra Layout,top4,858
Kashi Nagar,top4,859
Chellikere,top4,860
Bank Of Baroda Colony,top4,861
Belatur,top4,862
Gunjur,top4,863
Daadys Gaarden Layout,top4,864
Vasanthapura,top4,865
Anantapuram,top4,866
Stage-4 Bommanahalli,top4,867
Veersandra,top4,868
Kanakapur main road,top4,869
Punappa Layout,top4,870
Raja Rajeshwari Nagar,top4,871
Raghuvanahalli,top4,872
Ramanjaneyanagar,top4,873
Varthur Road,top4,874
Glass Factory Layout,top4,875
Gollarapalya Hosahalli,top4,876
Tavarekere,top4,877
Poorna Pragna Layout,top4,878
"Maragondana Halli, kr puram, old madras road",top4,879
Gulakamale,top4,880
Uttarahalli,top4,881
BSM Extension,top4,882
Popular Colony,top4,883
Varsova Layout,top4,884
T C Palya main Road,top4,885
Himagiri Meadows,top4,886
Hoskote,top4,887
Jyothi Nagar,top4,888
"Kirloskar layout, Basaveshwarnagar",top4,889
Basavanagara,top4,890
Green View Layout,top4,891
Chennappa Layout,top4,892
Raghavendra Nagar,top4,893
Tirumanahalli,top4,894
Doddabanahalli,top4,895
Green Garden Layout,top4,896
Kengeri Satellite Town KHB Apartment,top4,897
Parappana Agrahara,top4,898
Duvasapalya,top4,899
Vishveshwarya Layout,top4,900
HAL 3rd Stage,top4,901
Babusapalaya,top4,902
Chikkathoguru,top4,903
Divya Unnathi Layout,top4,904
Dodda Banaswadi,top4,905
Muneshwara Nagar,top4,906
KR Layout,top4,907
Bhagyalakshmi Avenue,top4,908
Shingapura,top4,909
Shikaripalya,top4,910
2nd Phase Judicial Layout,top4,911
Bisuvanahalli,top4,912
Sri Venkateshpura Layout,top4,913
Nelamangala,top4,914
Akshaya Vana,top4,915
Soppahalli,top4,916
Vishwapriya Layout,top4,917
Yelenahalli,top4,918
Suraksha Nagar,top4,919
Begur Road,top4,920
Konappana Agrahara,top4,921
Kengeri Satellite Town Stage II,top4,922
Shanthi Pura,top4,923
Shetty Halli,top4,924
Saptagiri Layout,top4,925
Vikram Nagar,top4,926
Lake City,top4,927
Balaji Gardens Layout,top4,928
Sunkan palya,top4,929
Harohalli,top4,930
Doctor Layout Rayasandra,top4,931
Amarjyothi Colony,top4,932
Alfa Garden Layout,top4,933
"Bidere Agarahara, Behind Safal market",top4,934
Bommasandra,top4,935
Anantapura,top5,936
K R C kothanur,top5,937
Suddaguntepalya,top5,938
Adarsh Nagar,top5,939
Nagondanahalli,top5,940
Shauhardha Layout,top5,941
Allalasandra,top5,942
Dwaraka Nagar,top5,943
Channasandra,top5,944
Hegganahalli,top5,945
Doddathoguru,top5,946
Doddakallasandra,top5,947
Chokkanahalli,top5,948
Chokkasandra,top5,949
HAL Layout,top5,950
Kada Agrahara,top5,951
Escorts Colony,top5,952
Neeladri Nagar,top5,953
Sompura,top5,954
Prasanth Extension,top5,955
Venkateshpuram,top5,956
Chikkadunnasandra,top5,957
HOSUR MAIN ROAD,top5,958
Maithri Layout,top5,959
HOSUR RMAIN ROAD,top5,960
Kothannur,top5,961
Pragathi Nagar,top5,962
Harappanahalli,top5,963
Nobo Nagar,top5,964
Belathur,top5,965
MLA Layout,top5,966
"Lakshminarayanapura, Electronic City Phase 2",top5,967
Shree Ananth Nagar Layout,top5,968
P&T Layout,top5,969
Gunjur Palya,top5,970
Yarandahalli,top5,971
NR Colony,top5,972
KUDLU MAIN ROAD,top5,973
Electronic City Phase II,top5,974
Rajarajeshwari Nagara,top5,975
