loc_id,area_type,size,total_sqft,bath,balcony,price,bed_bath,price_per_sqft
44,Super built-up  Area,3,1350.0,2,2,130.0,476.0,9629.63
44,Built-up  Area,3,1485.0,3,1,140.0,516.0,9427.609
44,Built-up  Area,3,1600.0,3,3,130.0,516.0,8125.0
44,Super built-up  Area,2,1200.0,2,3,120.0,344.0,10000.0
44,Super built-up  Area,3,1850.0,3,2,150.0,516.0,8108.108
44,Carpet  Area,2,1230.0,2,0,80.0,344.0,6504.065
44,Super built-up  Area,4,2453.0,3,2,250.0,648.0,10191.602
44,Super built-up  Area,3,1650.0,3,3,125.0,516.0,7575.758
45,Built-up  Area,1,400.0,1,0,35.0,172.0,8750.0
46,Plot  Area,5,1000.0,4,2,90.0,820.0,9000.0
46,Plot  Area,4,1650.0,2,1,140.0,608.0,8484.848
47,Plot  Area,4,1200.0,4,3,110.0,688.0,9166.667
47,Plot  Area,3,1200.0,3,2,99.0,516.0,8250.0
48,Super built-up  Area,3,1903.0,3,2,165.0,516.0,8670.52
49,Super built-up  Area,3,912.0,2,1,70.0,476.0,7675.439
49,Super built-up  Area,2,1355.0,2,2,115.0,344.0,8487.085
49,Super built-up  Area,2,2031.0,2,2,200.0,344.0,9847.366
50,Super built-up  Area,4,3000.0,5,2,260.0,728.0,8666.667
51,Super built-up  Area,4,4104.0,4,3,360.0,688.0,8771.93
51,Built-up  Area,4,4041.0,4,2,345.0,688.0,8537.491
52,Super built-up  Area,3,2200.0,2,1,190.0,476.0,8636.364
53,Super built-up  Area,3,1390.0,3,1,120.0,516.0,8633.094
54,Plot  Area,4,712.0,2,1,67.5,608.0,9480.337
54,Plot  Area,3,3000.0,3,0,250.0,516.0,8333.333
54,Built-up  Area,4,2000.0,2,1,160.0,608.0,8000.0
55,Super built-up  Area,2,1357.0,2,1,115.0,344.0,8474.576
55,Super built-up  Area,3,1621.0,4,0,130.0,556.0,8019.741
55,Super built-up  Area,2,1216.0,2,0,97.16,344.0,7990.132
55,Built-up  Area,4,5000.0,4,0,375.0,688.0,7500.0
55,Super built-up  Area,2,1222.0,2,0,112.0,344.0,9165.303
55,Super built-up  Area,2,1263.0,2,0,107.0,344.0,8471.892
55,Super built-up  Area,4,2648.0,5,0,251.5,728.0,9497.734
55,Built-up  Area,4,3730.0,4,3,370.0,688.0,9919.571
55,Super built-up  Area,2,1357.0,2,1,130.0,344.0,9579.956
55,Super built-up  Area,3,1613.0,3,0,150.0,516.0,9299.442
55,Super built-up  Area,3,1380.0,3,3,130.0,516.0,9420.29
55,Super built-up  Area,3,1210.0,2,2,81.0,476.0,6694.215
55,Built-up  Area,2,720.0,2,2,65.0,344.0,9027.778
55,Super built-up  Area,2,1268.0,2,1,127.0,344.0,10015.773
55,Built-up  Area,4,1600.0,3,0,140.0,648.0,8750.0
55,Super built-up  Area,4,2733.0,5,2,259.0,728.0,9476.765
55,Super built-up  Area,3,1621.0,3,1,124.0,516.0,7649.599
55,Super built-up  Area,2,1222.0,2,2,98.0,344.0,8019.64
55,Super built-up  Area,3,1555.0,3,2,125.0,516.0,8038.585
55,Super built-up  Area,2,1376.0,2,1,124.0,344.0,9011.628
55,Super built-up  Area,2,1200.0,2,1,70.0,344.0,5833.333
55,Super built-up  Area,2,1357.0,2,1,123.0,344.0,9064.112
55,Super built-up  Area,2,1260.0,2,2,113.0,344.0,8968.254
55,Super built-up  Area,2,1224.0,2,0,105.0,344.0,8578.431
56,Plot  Area,4,3000.0,5,1,275.0,728.0,9166.667
56,Plot  Area,5,900.0,4,0,90.0,820.0,10000.0
56,Super built-up  Area,2,1163.0,2,2,98.86,344.0,8500.43
56,Super built-up  Area,3,1760.0,3,2,145.0,516.0,8238.636
56,Built-up  Area,3,3900.0,3,2,300.0,516.0,7692.308
56,Super built-up  Area,2,1163.0,2,1,98.86,344.0,8500.43
56,Super built-up  Area,2,1342.0,2,2,115.0,344.0,8569.3
56,Super built-up  Area,3,1760.0,3,2,160.0,516.0,9090.909
56,Super built-up  Area,3,1760.0,3,2,142.0,516.0,8068.182
56,Built-up  Area,3,2400.0,2,3,195.0,476.0,8125.0
56,Super built-up  Area,2,1162.0,2,2,98.77,344.0,8500.0
57,Super built-up  Area,3,2700.0,4,1,270.0,556.0,10000.0
57,Built-up  Area,3,1620.0,3,2,130.0,516.0,8024.691
57,Super built-up  Area,2,1000.0,2,1,62.0,344.0,6200.0
57,Built-up  Area,2,1490.0,2,1,150.0,344.0,10067.114
58,Plot  Area,4,1050.0,4,0,90.0,688.0,8571.429
59,Super built-up  Area,2,1125.0,2,1,75.0,344.0,6666.667
59,Super built-up  Area,1,735.0,1,1,75.0,172.0,10204.082
59,Super built-up  Area,3,1655.0,3,2,155.0,516.0,9365.559
59,Built-up  Area,3,1680.0,3,3,135.0,516.0,8035.714
60,Super built-up  Area,2,703.0,2,1,60.0,344.0,8534.851
61,Plot  Area,4,4830.0,5,1,390.0,728.0,8074.534
61,Plot  Area,4,4800.0,5,2,420.0,728.0,8750.0
61,Built-up  Area,4,4800.0,4,3,420.0,688.0,8750.0
62,Super built-up  Area,2,1100.0,2,2,75.0,344.0,6818.182
62,Super built-up  Area,1,705.0,1,2,67.0,172.0,9503.546
62,Super built-up  Area,1,686.0,1,1,62.5,172.0,9110.787
62,Built-up  Area,2,1124.0,3,2,80.0,384.0,7117.438
62,Super built-up  Area,3,1600.0,3,3,160.0,516.0,10000.0
62,Super built-up  Area,3,2600.0,3,1,237.0,516.0,9115.385
62,Super built-up  Area,2,1290.0,2,1,120.0,344.0,9302.326
62,Super built-up  Area,3,2520.0,3,2,150.0,516.0,5952.381
62,Built-up  Area,2,900.0,2,1,90.0,344.0,10000.0
62,Super built-up  Area,3,2250.0,3,1,200.0,516.0,8888.889
62,Built-up  Area,2,900.0,2,1,72.0,344.0,8000.0
62,Built-up  Area,4,2800.0,4,2,252.0,688.0,9000.0
62,Super built-up  Area,2,1020.0,2,1,80.0,344.0,7843.137
62,Built-up  Area,1,580.0,1,1,45.0,172.0,7758.621
62,Super built-up  Area,2,1410.0,2,3,125.0,344.0,8865.248
63,Super built-up  Area,2,1415.0,2,2,120.0,344.0,8480.565
64,Super built-up  Area,3,1904.0,3,1,150.0,516.0,7878.151
64,Super built-up  Area,3,1839.0,3,3,165.0,516.0,8972.268
64,Super built-up  Area,3,1904.0,3,3,155.0,516.0,8140.756
64,Super built-up  Area,2,1517.0,2,2,125.0,344.0,8239.947
64,Super built-up  Area,3,1623.0,3,3,155.0,516.0,9550.216
64,Super built-up  Area,3,1839.0,3,3,160.0,516.0,8700.381
64,Super built-up  Area,2,1279.0,2,3,100.0,344.0,7818.608
65,Built-up  Area,4,1632.0,3,0,145.0,648.0,8884.804
65,Plot  Area,4,1670.0,3,0,135.0,648.0,8083.832
65,Plot  Area,3,832.0,3,1,77.0,516.0,9254.808
65,Built-up  Area,4,1680.0,3,0,135.0,648.0,8035.714
65,Plot  Area,4,1632.0,3,1,128.0,648.0,7843.137
65,Built-up  Area,3,3339.0,3,0,250.0,516.0,7487.272
65,Plot  Area,4,1355.0,3,0,135.0,648.0,9963.1
65,Plot  Area,3,1232.0,3,1,96.0,516.0,7792.208
65,Built-up  Area,4,1632.0,3,0,140.0,648.0,8578.431
66,Super built-up  Area,3,2075.0,3,1,175.0,516.0,8433.735
67,Built-up  Area,2,1190.0,2,2,100.0,344.0,8403.361
68,Built-up  Area,4,2200.0,4,2,200.0,688.0,9090.909
68,Super built-up  Area,2,1200.0,2,2,93.0,344.0,7750.0
68,Super built-up  Area,2,1128.0,2,2,105.0,344.0,9308.511
68,Carpet  Area,3,1875.0,3,1,180.0,516.0,9600.0
68,Built-up  Area,2,1210.0,2,1,102.0,344.0,8429.752
68,Built-up  Area,2,1224.0,2,2,105.0,344.0,8578.431
68,Built-up  Area,3,1407.0,3,1,120.0,516.0,8528.785
68,Super built-up  Area,2,1145.0,2,2,100.0,344.0,8733.624
68,Built-up  Area,1,850.0,1,2,57.0,172.0,6705.882
68,Super built-up  Area,2,1260.0,2,2,100.0,344.0,7936.508
68,Super built-up  Area,3,1700.0,3,2,150.0,516.0,8823.529
68,Built-up  Area,4,3200.0,3,2,250.0,648.0,7812.5
68,Built-up  Area,1,850.0,1,2,60.0,172.0,7058.824
68,Built-up  Area,3,1500.0,3,3,120.0,516.0,8000.0
68,Super built-up  Area,3,2200.0,3,2,160.0,516.0,7272.727
68,Super built-up  Area,2,1260.0,2,3,120.0,344.0,9523.81
68,Super built-up  Area,3,1650.0,3,1,150.0,516.0,9090.909
69,Super built-up  Area,2,1625.0,2,1,75.0,344.0,4615.385
69,Built-up  Area,3,1510.0,2,1,75.0,476.0,4966.887
69,Super built-up  Area,3,1870.0,3,3,185.0,516.0,9893.048
69,Super built-up  Area,3,1750.0,3,2,150.0,516.0,8571.429
69,Super built-up  Area,3,2000.0,3,1,200.0,516.0,10000.0
69,Built-up  Area,3,3500.0,4,2,330.0,556.0,9428.571
69,Super built-up  Area,2,1550.0,2,2,140.0,344.0,9032.258
69,Built-up  Area,3,1900.0,4,2,145.0,556.0,7631.579
69,Super built-up  Area,4,4856.0,5,3,410.0,728.0,8443.163
69,Super built-up  Area,3,1706.0,3,3,154.0,516.0,9026.964
69,Built-up  Area,4,3435.0,2,1,341.0,608.0,9927.22
69,Super built-up  Area,2,1180.0,2,1,105.0,344.0,8898.305
69,Built-up  Area,2,1200.0,2,1,78.0,344.0,6500.0
69,Super built-up  Area,3,1870.0,3,3,180.0,516.0,9625.668
69,Built-up  Area,2,1420.0,2,0,120.0,344.0,8450.704
70,Super built-up  Area,3,1800.0,3,2,150.0,516.0,8333.333
71,Plot  Area,4,900.0,4,1,75.0,688.0,8333.333
72,Plot  Area,4,3600.0,4,2,300.0,688.0,8333.333
73,Plot  Area,1,600.0,1,0,50.0,172.0,8333.333
74,Super built-up  Area,3,1800.0,3,0,150.0,516.0,8333.333
75,Built-up  Area,4,2000.0,3,1,166.0,648.0,8300.0
76,Super built-up  Area,2,924.0,2,2,76.23,344.0,8250.0
76,Built-up  Area,3,1840.0,4,1,175.0,556.0,9510.87
76,Built-up  Area,4,1200.0,4,1,85.0,688.0,7083.333
77,Super built-up  Area,2,1209.0,2,2,100.0,344.0,8271.299
78,Plot  Area,5,1200.0,5,2,99.0,860.0,8250.0
79,Super built-up  Area,4,1400.0,3,2,91.15,648.0,6510.714
79,Super built-up  Area,3,1750.0,3,3,150.0,516.0,8571.429
79,Built-up  Area,3,2270.0,3,1,180.0,516.0,7929.515
79,Super built-up  Area,2,1300.0,2,1,120.0,344.0,9230.769
79,Built-up  Area,2,1567.0,3,0,140.0,384.0,8934.269
80,Super built-up  Area,3,1865.0,4,2,140.0,556.0,7506.702
80,Super built-up  Area,1,840.0,1,0,75.0,172.0,8928.571
81,Super built-up  Area,3,1650.0,3,2,135.0,516.0,8181.818
82,Built-up  Area,3,1626.6,3,1,133.0,516.0,8176.565
83,Plot  Area,3,980.0,3,1,80.0,516.0,8163.265
84,Super built-up  Area,2,1353.0,2,2,110.0,344.0,8130.081
84,Super built-up  Area,3,1353.0,2,2,110.0,476.0,8130.081
84,Super built-up  Area,2,1353.0,2,2,110.0,344.0,8130.081
85,Super built-up  Area,3,1755.0,3,1,122.0,516.0,6951.567
85,Super built-up  Area,1,665.0,1,0,50.75,172.0,7631.579
85,Super built-up  Area,3,2465.0,5,2,234.0,596.0,9492.901
85,Super built-up  Area,2,1245.0,2,1,86.28,344.0,6930.12
85,Super built-up  Area,1,660.0,1,1,54.0,172.0,8181.818
85,Super built-up  Area,2,1350.0,2,1,91.0,344.0,6740.741
85,Super built-up  Area,1,665.0,1,1,46.08,172.0,6929.323
85,Super built-up  Area,1,660.0,1,1,62.0,172.0,9393.939
85,Super built-up  Area,2,1365.0,2,1,122.0,344.0,8937.729
85,Super built-up  Area,3,1795.0,3,2,139.0,516.0,7743.733
85,Super built-up  Area,3,1740.0,3,1,150.0,516.0,8620.69
85,Super built-up  Area,3,1970.0,3,2,164.0,516.0,8324.873
85,Super built-up  Area,3,1516.0,3,1,147.0,516.0,9696.57
86,Built-up  Area,3,1872.0,3,2,152.0,516.0,8119.658
87,Built-up  Area,2,1240.0,2,1,100.0,344.0,8064.516
88,Super built-up  Area,3,1340.0,2,1,100.0,476.0,7462.687
88,Built-up  Area,2,1050.0,2,1,70.0,344.0,6666.667
88,Built-up  Area,3,2250.0,3,2,199.0,516.0,8844.444
88,Carpet  Area,3,1625.0,3,1,150.0,516.0,9230.769
89,Super built-up  Area,3,1630.0,3,2,131.0,516.0,8036.81
90,Super built-up  Area,2,1196.0,2,1,96.0,344.0,8026.756
91,Super built-up  Area,3,1450.0,2,3,89.6,476.0,6179.31
91,Built-up  Area,2,1117.0,2,1,110.0,344.0,9847.807
92,Plot  Area,3,1200.0,3,3,95.75,516.0,7979.167
93,Super built-up  Area,3,1630.0,2,2,130.0,476.0,7975.46
94,Plot  Area,2,1200.0,1,2,95.0,304.0,7916.667
95,Plot  Area,4,1200.0,3,1,95.0,648.0,7916.667
96,Super built-up  Area,2,1100.0,2,1,70.0,344.0,6363.636
96,Super built-up  Area,3,1672.0,3,2,150.0,516.0,8971.292
96,Built-up  Area,3,1750.0,3,3,149.0,516.0,8514.286
96,Super built-up  Area,3,1670.0,3,2,160.0,516.0,9580.838
96,Super built-up  Area,3,1750.0,3,2,150.0,516.0,8571.429
96,Super built-up  Area,2,1296.0,2,2,70.0,344.0,5401.235
97,Super built-up  Area,4,2825.0,4,3,250.0,688.0,8849.558
97,Super built-up  Area,3,1875.0,3,1,167.0,516.0,8906.667
97,Super built-up  Area,3,2065.0,4,1,210.0,556.0,10169.492
97,Super built-up  Area,2,1394.0,2,1,100.0,344.0,7173.601
97,Super built-up  Area,2,1077.0,2,2,93.0,344.0,8635.097
97,Built-up  Area,1,839.907117,1,1,63.0,172.0,7500.829
97,Built-up  Area,1,840.0,2,2,50.0,212.0,5952.381
97,Super built-up  Area,3,1590.0,3,3,131.0,516.0,8238.994
97,Super built-up  Area,3,2180.0,3,2,210.0,516.0,9633.028
97,Super built-up  Area,2,1180.0,2,2,88.5,344.0,7500.0
97,Built-up  Area,2,1394.0,2,2,85.0,344.0,6097.561
97,Super built-up  Area,3,2077.0,3,3,175.0,516.0,8425.614
97,Super built-up  Area,4,4550.0,2,1,240.0,608.0,5274.725
97,Super built-up  Area,2,1205.0,2,1,85.0,344.0,7053.942
97,Super built-up  Area,4,2615.0,5,3,222.0,728.0,8489.484
97,Super built-up  Area,2,900.0,2,1,75.0,344.0,8333.333
98,Built-up  Area,3,1991.0,3,2,160.0,516.0,8036.163
98,Super built-up  Area,2,1100.0,2,1,85.0,344.0,7727.273
99,Super built-up  Area,2,1700.0,2,2,150.0,344.0,8823.529
99,Super built-up  Area,3,1500.0,2,1,120.0,476.0,8000.0
99,Super built-up  Area,3,1240.0,2,2,59.52,476.0,4800.0
99,Built-up  Area,2,1250.0,2,2,110.0,344.0,8800.0
99,Super built-up  Area,3,1260.0,2,1,95.0,476.0,7539.683
99,Super built-up  Area,2,1400.0,2,1,100.0,344.0,7142.857
99,Super built-up  Area,2,1245.0,2,1,125.0,344.0,10040.161
100,Super built-up  Area,4,3500.0,4,3,350.0,688.0,10000.0
100,Super built-up  Area,2,1097.0,2,3,65.0,344.0,5925.251
100,Super built-up  Area,3,1350.0,3,0,75.0,516.0,5555.556
100,Super built-up  Area,3,2000.0,3,3,200.0,516.0,10000.0
101,Plot  Area,3,1500.0,3,2,115.0,516.0,7666.667
101,Plot  Area,3,1500.0,3,2,149.0,516.0,9933.333
101,Plot  Area,3,1500.0,3,1,90.0,516.0,6000.0
102,Super built-up  Area,3,1600.0,3,1,125.0,516.0,7812.5
103,Super built-up  Area,2,900.0,2,1,70.0,344.0,7777.778
104,Built-up  Area,1,800.0,1,0,72.0,172.0,9000.0
104,Super built-up  Area,1,1200.0,1,0,65.0,172.0,5416.667
104,Plot  Area,3,1350.0,1,0,120.0,436.0,8888.889
105,Built-up  Area,2,1030.0,2,2,80.0,344.0,7766.99
106,Super built-up  Area,3,1800.0,3,3,120.0,516.0,6666.667
106,Super built-up  Area,3,3000.0,3,1,265.0,516.0,8833.333
107,Super built-up  Area,1,296.0,1,0,22.89,172.0,7733.108
108,Super built-up  Area,3,2401.0,3,2,185.0,516.0,7705.123
108,Built-up  Area,4,1550.0,4,1,120.0,688.0,7741.935
108,Super built-up  Area,3,2400.0,3,2,185.0,516.0,7708.333
109,Super built-up  Area,3,1801.0,3,2,139.0,516.0,7717.934
110,Super built-up  Area,3,1700.0,3,2,155.0,516.0,9117.647
110,Super built-up  Area,2,1130.0,2,2,60.0,344.0,5309.735
110,Super built-up  Area,3,1800.0,3,2,175.0,516.0,9722.222
110,Super built-up  Area,2,1150.0,2,2,40.0,344.0,3478.261
110,Built-up  Area,2,1300.0,2,2,102.0,344.0,7846.154
110,Super built-up  Area,3,1466.0,2,3,140.0,476.0,9549.795
110,Built-up  Area,3,1654.0,2,3,85.0,476.0,5139.057
110,Super built-up  Area,2,1130.0,2,2,60.0,344.0,5309.735
110,Built-up  Area,3,1725.0,2,1,165.0,476.0,9565.217
110,Built-up  Area,3,3408.0,3,3,260.0,516.0,7629.108
110,Super built-up  Area,2,1485.0,3,3,132.0,384.0,8888.889
110,Super built-up  Area,2,1400.0,2,2,108.0,344.0,7714.286
110,Super built-up  Area,3,1800.0,3,3,150.0,516.0,8333.333
110,Plot  Area,5,2400.0,5,2,200.0,860.0,8333.333
110,Built-up  Area,5,2800.0,5,1,220.0,860.0,7857.143
110,Super built-up  Area,3,1436.0,2,2,75.0,476.0,5222.841
110,Built-up  Area,3,1785.0,3,0,165.0,516.0,9243.697
110,Super built-up  Area,3,1730.0,3,2,175.0,516.0,10115.607
110,Plot  Area,4,2485.0,4,2,198.0,688.0,7967.807
111,Super built-up  Area,3,1540.0,3,2,90.0,516.0,5844.156
111,Super built-up  Area,3,1875.0,2,2,150.0,476.0,8000.0
111,Super built-up  Area,3,1429.0,3,3,86.0,516.0,6018.195
111,Built-up  Area,1,640.0,1,0,55.0,172.0,8593.75
111,Super built-up  Area,2,1050.0,2,2,85.0,344.0,8095.238
111,Super built-up  Area,3,1800.0,3,2,150.0,516.0,8333.333
111,Super built-up  Area,3,1720.0,3,1,135.0,516.0,7848.837
111,Super built-up  Area,3,1950.0,3,3,165.0,516.0,8461.538
111,Super built-up  Area,1,780.0,1,1,70.0,172.0,8974.359
111,Super built-up  Area,3,1740.0,3,0,120.0,516.0,6896.552
111,Built-up  Area,3,1695.0,3,2,125.0,516.0,7374.631
111,Super built-up  Area,2,1246.0,2,1,95.0,344.0,7624.398
111,Super built-up  Area,3,2100.0,3,2,145.0,516.0,6904.762
111,Super built-up  Area,2,1276.0,2,2,80.0,344.0,6269.592
111,Super built-up  Area,3,1850.0,3,1,180.0,516.0,9729.73
112,Plot  Area,4,1150.0,3,1,110.0,648.0,9565.217
112,Built-up  Area,4,1150.0,4,1,110.0,688.0,9565.217
112,Super built-up  Area,1,600.0,2,1,35.0,212.0,5833.333
112,Plot  Area,1,1500.0,2,0,85.0,212.0,5666.667
113,Built-up  Area,3,1800.0,3,3,140.0,516.0,7777.778
113,Built-up  Area,4,2400.0,5,3,180.0,728.0,7500.0
113,Super built-up  Area,2,1269.0,2,2,97.0,344.0,7643.814
114,Plot  Area,2,1375.0,2,1,105.0,344.0,7636.364
115,Plot  Area,5,1050.0,4,1,80.0,820.0,7619.048
116,Super built-up  Area,3,2135.0,3,2,215.0,516.0,10070.258
116,Super built-up  Area,2,1200.0,2,0,60.0,344.0,5000.0
116,Built-up  Area,2,1180.0,2,2,100.0,344.0,8474.576
116,Built-up  Area,3,1340.0,3,0,90.0,516.0,6716.418
116,Super built-up  Area,3,1500.0,2,2,125.0,476.0,8333.333
116,Super built-up  Area,3,2000.0,3,3,185.0,516.0,9250.0
116,Super built-up  Area,2,1255.0,2,3,120.0,344.0,9561.753
116,Plot  Area,4,3500.0,4,0,138.0,688.0,3942.857
116,Built-up  Area,4,2500.0,4,0,170.0,688.0,6800.0
116,Super built-up  Area,3,2135.0,3,2,170.0,516.0,7962.529
117,Super built-up  Area,2,1452.55,2,3,110.0,344.0,7572.889
118,Super built-up  Area,2,1191.0,2,1,90.0,344.0,7556.675
119,Super built-up  Area,2,1056.0,2,1,80.0,344.0,7575.758
119,Built-up  Area,2,1320.0,2,3,90.0,344.0,6818.182
119,Built-up  Area,2,1300.0,2,3,95.0,344.0,7307.692
119,Built-up  Area,3,1650.0,3,2,140.0,516.0,8484.848
120,Super built-up  Area,3,1260.0,2,2,85.05,476.0,6750.0
120,Built-up  Area,1,890.0,1,1,75.0,172.0,8426.966
120,Super built-up  Area,3,1600.0,3,2,130.0,516.0,8125.0
120,Super built-up  Area,3,1260.0,2,2,85.05,476.0,6750.0
121,Built-up  Area,3,1200.0,3,1,90.0,516.0,7500.0
122,Plot  Area,5,1200.0,5,1,90.0,860.0,7500.0
123,Plot  Area,3,800.0,3,3,60.0,516.0,7500.0
124,Super built-up  Area,2,1200.0,2,2,70.0,344.0,5833.333
124,Built-up  Area,2,1200.0,2,1,110.0,344.0,9166.667
125,Super built-up  Area,3,1030.0,2,2,77.25,476.0,7500.0
126,Super built-up  Area,2,1030.0,2,1,77.25,344.0,7500.0
127,Plot  Area,3,1200.0,2,0,90.0,476.0,7500.0
128,Super built-up  Area,3,1460.0,3,2,88.0,516.0,6027.397
128,Super built-up  Area,3,2456.0,3,3,220.0,516.0,8957.655
129,Super built-up  Area,1,670.0,1,1,50.0,172.0,7462.687
130,Built-up  Area,1,565.0,1,1,35.0,172.0,6194.69
130,Built-up  Area,3,2388.0,4,3,239.0,556.0,10008.375
130,Super built-up  Area,3,1500.0,3,3,95.0,516.0,6333.333
130,Super built-up  Area,2,1310.0,2,2,111.0,344.0,8473.282
130,Super built-up  Area,3,1700.0,3,3,120.0,516.0,7058.824
130,Super built-up  Area,2,1100.0,2,3,90.0,344.0,8181.818
130,Built-up  Area,3,1850.0,3,3,110.0,516.0,5945.946
131,Plot  Area,2,3760.0,2,0,280.0,344.0,7446.809
132,Super built-up  Area,3,1475.0,2,3,90.0,476.0,6101.695
132,Super built-up  Area,2,1253.0,2,1,102.0,344.0,8140.463
132,Super built-up  Area,3,1580.0,3,2,160.0,516.0,10126.582
132,Super built-up  Area,3,1750.0,3,2,130.0,516.0,7428.571
132,Super built-up  Area,2,1120.0,2,0,65.0,344.0,5803.571
132,Super built-up  Area,3,1835.0,2,3,155.0,476.0,8446.866
132,Super built-up  Area,2,1290.0,2,3,100.0,344.0,7751.938
132,Super built-up  Area,2,1300.0,2,3,110.0,344.0,8461.538
132,Super built-up  Area,3,1600.0,3,2,88.0,516.0,5500.0
132,Super built-up  Area,3,2200.0,3,2,180.0,516.0,8181.818
132,Super built-up  Area,2,1325.0,2,2,119.0,344.0,8981.132
